Removed Pin From Net: NetName=+5 Pin=L1-1
Removed Pin From Net: NetName=NetL1_2 Pin=L1-2
Removed Pin From Net: NetName=+5 Pin=L2-1
Removed Pin From Net: NetName=NetL2_2 Pin=L2-2
Removed Pin From Net: NetName=+5 Pin=L3-1
Removed Pin From Net: NetName=NetL3_2 Pin=L3-2
Removed Pin From Net: NetName=+5 Pin=L4-1
Removed Pin From Net: NetName=NetL4_2 Pin=L4-2
Removed Pin From Net: NetName=+5 Pin=L5-1
Removed Pin From Net: NetName=NetL5_2 Pin=L5-2
Removed Pin From Net: NetName=NetL6_1 Pin=L6-1
Removed Pin From Net: NetName=NetL6_2 Pin=L6-2
Change Component Comment : Designator=Y1 Old Comment=16MHz, 10 pf New Comment=16MHz
Change Component Comment : Designator=Y2 Old Comment=16MHz, 10 pf New Comment=16MHz
Change Component Comment : Designator=L4 Old Comment=AMS New Comment=Red
Change Component Comment : Designator=L5 Old Comment=IMD New Comment=Red
Change Component Comment : Designator=L2 Old Comment=MC New Comment=Red
Change Component Comment : Designator=L3 Old Comment=MODE New Comment=Green
Change Component Comment : Designator=L6 Old Comment=SSOK New Comment=Amber
Change Component Comment : Designator=L1 Old Comment=START New Comment=Blue
Change component parameters: Designator = "U1" ("U1"); Footprint = "32A_M"; UniqueID = "\APNXUIOR" ("\APNXUIOR")
Change component parameters (AddParameter): Name = "Code_JEDEC"; Value = "MS-026-ABA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.atmel.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "ATmega48A/48PA/88A/88PA/168A/168PA/328/328P Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.atmel.com/dyn/resources/prod_documents/doc8271.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "ATmega48A/48PA/88A/88PA/168A/168PA/328/328P Summary"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.atmel.com/dyn/resources/prod_documents/8271S.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "revD, May-2011"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "32-Lead, 7x7x1.0 mm Body, 0.8mm Lead Pitch, Thin Profile Plastic Quad Flat Package (TQFP)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "32A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageVersion"; Value = "revC, Oct-2010"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RevisionNote"; Value = "DatasheetVersion & PackageVersion updated. URLs added."; VariantName = "[No Variations]"
Change component parameters: Designator = "U2" ("U2"); Footprint = "DCY0004A_L"; UniqueID = "\GYAXNREA" ("\GYAXNREA")
Change component parameters (AddParameter): Name = "Code_IPC"; Value = "SOT223-4"; VariantName = "[No Variations]"
